,1 Bdr ,1st Bed,2 Bdr ,2nd Bed,3 Bdr ,3rd Bed,4th Bed,5th Bed,Access,Address,Appliances,Area Pool,Average Baths,Average Bedrooms,Average Lease,Average LeaseSquare Ft,Average List Price,Average Price,Average PriceSquare Ft,Average Rent,Average Square Ft,Average Year Built,Bath,Baths,Bedroom,Bedrooms,Breakfast,Building Sqft,Carport Description,City,Compactor,Connection,Controlled Access,Cooling,Countertop,County,County  Zip Code,Den,Dining,Dishwasher,Disposal,Energy Feature,Exterior,Exterior Type,Extra Room,Family Room,Finance Avail,Fireplace,Floors,Foreclosure,Foundation,Front Door,Game Room,Garage Apartment,Garage Carport,Garages,HOA Mandatory,Heating,Home For Lease,Home For Sales,Homes for Lease,Homes for Sale,Interior,Key Map,Kitchen,Legal Description,List Type,Listing Price,Listing Status,Living,Loft,Lot Description,Lot Size,MLS,Maint Fee Includes,Maintenance Fee,Market Area,Market Area Name,Market Value,Master Bath Description,Media Room,Median Appraised Value,Median Appraised Value  Square ft,Median Lot Square Ft,Median Price  Square ft,Median Square Ft,Median Year Built,Microwave,MultiFamily Description,Name,Neighborhood,Neighborhood Value Range,New Construction,Other Fees,Oven,Page_Link,Parking,Parking Space,Parking Unit,Price Range,Price_Reduced,Private Pool,Private Pool Desc,Property Type,QuartersGuest House,Range,Roof,Room Description,Single Family Properties,State,Status,Stories,StudyLibrary,Style,Subdivision,Subdivision Name,Tax Rate,Taxes wo Exemp,Unit No,Unit1 Bed,Unit1 Kitchen,Unit1 Living,Unit2 Bed1,Unit2 Bed2,Unit2 Kitchen,Unit2 Living,Unit3 Bed1,Unit3 Bed2,Unit3 Bed3,Unit3 Kitchen,Unit3 Living,Utility Room Desc,Utility Room Dim,WasherDryer Conn,Water Amenity,Water Sewer,Year Built,Zip Code,_id,author,null,text
775,,13x13,,13x13,,15x12,11x11,,Driveway Gate,1407 Dorothy St,,No,2.56,3.10,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,789166(m²)  /Seller",,Houston,No,Electric Dryer Connections,,Central Electric,,Harris County,77008,,13x11,Yes,Yes,"Attic Vents, Ceiling Fans","Patio/Deck, Back Yard, Back Yard Fenced",Brick & Wood,,,"Cash Sale, Conventional, FHA, VA",,,,Pier & Beam,,,,"Additional Parking, Driveway Gate",,No,Central Gas,,,,,,,16x10,LTS 729& 730 Houston Heights ANNEX,Exclusive Right to Sell/Lease,399999,For Sale,17x14,,Cleared,"5,000 Sqft.465(m²)  /Appraisal District",72353351 (HAR),,No/$0,Heights/Greater Heights,,,,,"$488,398",,"6,600",$259.55,"1,908",1935,No,,,,$284 - $900 K,,No/$0,Electric Oven,http://www.har.com/1407-dorothy-st/sale_72353351,,,,,0.0586,No,,Single Family,,Electric Range,Composition,Breakfast Room,"3,887",TX,,2,,Traditional,Heights View subdivision price trend,HOUSTON HEIGHTS,,,,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1930   / Appraisal District,77008,5933372ee2bac83b34e52ee9,,,
776,,19x15,,12x12,,15x11,,,,1123 Malone St,"Washer Included, Dryer Included, Refrigerator",No,2.55,2.80,"$2,668",$1.49,"$522,233",,$215.75,,"2,412",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,304214(m²)  /Appraisal District",,Houston,No,,,Central Electric,Granite,Harris County,,,15x11,Yes,Yes,"Insulated/Low-E windows, Ceiling Fans","Balcony, Side Green Space",Stucco,,,"Cash Sale, Conventional, FHA, VA",1 / Gaslog Fireplace,"Concrete, Wood, Carpet, Slate",,Slab,North,,,,2 / Attached,,Central Gas,207,427,,,Alarm System - Owned,492G,,LT 4 BLK 1 WOODCREST ON MALONE AVENUE,Exclusive Right to Sell/Lease,399999,For Sale,15x20,,,"1,865 Sqft.173(m²)  /Appraisal District",35079942 (HAR),,No/$0,Rice Military/Washington Corridor,Rice Military/Washington Corridor,,Whirlpool/Tub,,,,,,,,Yes,,,,,,No/$0,Electric Oven,http://www.har.com/1123-malone-st/sale_35079942,Auto Garage Door Opener,,,,0.0805,No,,Townhouse / Condo,,Gas Range,Composition,,,TX,,3,,Contemporary/Modern,Woodcrest On Malone Ave,,2.52856,"$9,407/2016",,,,,,,,,,,,,,,,Yes,,"Public Sewer, Public Water",2004   / Appraisal District,77007,5933372ee2bac83b34e52eea,,,
777,,18x12,,21x11,,13x12,,,,6308 Calder St,,No,2.99,2.95,,,,,,,,,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,139199(m²)  /Appraisal District",,Houston,No,,,Central Electric,granite,Harris County,77007,,,Yes,Yes,,,"Brick Veneer, Cement Board",,,,1 / Gaslog Fireplace,"Wood, Carpet, Slate",,Slab,"West, South",,,"Auto Garage Door Opener, Double-Wide Driveway",2 / Attached,No,Central Gas,,,,,"Alarm System - Owned, Breakfast Bar",492F,19x11,TRS 181A & 182C COTTAGE GROVE SEC 5,Exclusive Right to Sell/Lease,400000,For Sale,21x12,,Cleared,"1,781 Sqft.165(m²)  /Appraisal District",26027043 (HAR),,No/$0,Rice Military/Washington Corridor,,,,,"$363,000",,"2,688",$170.68,"2,283",2007,Yes,,,,$194 - $486 K,,No/$0,"Convection Oven, Electric Oven",http://www.har.com/6308-calder-st/sale_26027043,,,,,0.0,No,,Single Family,,Gas Range,Composition,"1 Living Area, Breakfast Room","1,149",TX,,3,,Traditional,Rice Military View subdivision price trend,COTTAGE GROVE,2.52856,"$8,382/2016",,,,,,,,,,,,,,Utility Rm in Garage,,,,"Public Sewer, Public Water",1998   / Appraisal District,77007,5933372ee2bac83b34e52eeb,,,
778,,,,,,,,,,1244 Oxford St,,,2.56,3.10,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,04897(m²)  /Appraisal District",,Houston,,"Electric Dryer Connections, Washer Connections",,Central Electric,,Harris County,77008,,,,,Ceiling Fans,,Brick & Wood,,,,,,,Pier & Beam,,,,,,No,Central Gas,,,,,,453W,,TRS 4 THRU 8 BLK 192 HOUSTON HEIGHTS,Exclusive Right to Sell/Lease,400000,For Sale,,,Subdivision Lot,"4,715 Sqft.438(m²)  /Appraisal District",16769761 (HAR),,No/$0,Heights/Greater Heights,,,,,"$488,398",,"6,600",$259.55,"1,908",1935,,,,,$284 - $900 K,,No/$0,,http://www.har.com/1244-oxford-st/sale_16769761,,,,,0.0,No,,Single Family,,"Electric Range, Electric Cooktop",Composition,,"3,887",TX,,1,,Traditional,Houston Heights View subdivision price trend,HOUSTON HEIGHTS,2.52856,"$9,207/2016",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1965   / Appraisal District,77008,5933372ee2bac83b34e52eec,,,
779,,16x14,,15x13,,12x11,,,,1126 W 18th St,,No,2.15,2.85,,,,,,,,,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,058191(m²)  /Appraisal District",,Houston,No,"Gas Dryer Connections, Washer Connections",,Central Electric,Stone,Harris County,77008,,13x10,Yes,Yes,Ceiling Fans,"Partially Fenced, Back Yard, Porch",Cement Board,,,"Cash Sale, Conventional, VA",,"Tile, Wood",,Pier & Beam,West,,,"Auto Garage Door Opener, Double-Wide Driveway",2 / Attached,No,Central Gas,,,,,"High Ceiling, Fire/Smoke Alarm, Drapes/Curtains/Window Cover",452U,13x10,LT 3 BLK 1 SHADY ACRES HOMES,Exclusive Right to Sell/Lease,400000,For Sale,19x19,,Other,"2,506 Sqft.233(m²)  /Appraisal District",26902405 (HAR),,No/$0,Heights/Greater Heights,,,"Double Sinks, Master Bath + Separate Shower, Master With Tub",,"$336,743",,"7,685",$167.83,"1,368",1950,Yes,,,,$188 - $529 K,,No/$0,Electric Oven,http://www.har.com/1126-w-18th-st/sale_26902405,,,,,0.0476,No,,Single Family,,Gas Cooktop,Composition,1 Living Area,449,TX,,2,,Traditional,Shady Acres Homes View subdivision price trend,SHADY ACRES,2.52856,"$9,183/2016",,,,,,,,,,,,,,Utility Room 2nd Floor,,,,"Public Sewer, Public Water",2007   / Appraisal District,77008,5933372ee2bac83b34e52eed,,,
780,,16x16,,11x12,,14x14,,,,654 Nagle St,,Yes,2.06,2.57,"$1,706",$1.16,"$318,211",,$214.57,,"1,695",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,358219(m²)  /Builder",,Houston,,Washer Connections,,Central Electric,Granite,Harris County,,,11x16,Yes,Yes,Tankless/On-Demand H2O Heater,Covered Patio/Deck,"Cement Board, Stucco",,,,1 / Gaslog Fireplace,"Tile, Wood, Carpet",,Slab on Builders Pier,,,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,107,321,,,"High Ceiling, Island Kitchen",493R,9x17,LT 31 BLK 1 CAPITOL OAKS SEC 3 RP NO 1,Exclusive Right to Sell/Lease,400000,For Sale,18x22,,Subdivision Lot,"2,048 Sqft.190(m²)  /Appraisal District",72933688 (HAR),,$ 2100 / ANNUALLY,East End Revitalized,East End Revitalized,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Gas Oven,http://www.har.com/654-nagle-st/sale_72933688,,,,,0.0,No,,Single Family,,Gas Range,Aluminum,"Kitchen/Dining Combo, Living/Dining Combo",,TX,,3,,Other Style,Capitol Oaks,,2.52856,"$9,671/2016",,,,,,,,,,,,,,Utility Room 3rd Floor,,,,"Public Sewer, Public Water",2010   / Appraisal District,77003,5933372ee2bac83b34e52eee,,,
781,,18x14,,14x13,,13x10,,,,4607 Inker St,Electric Dryer Connection,No,3.00,3.00,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,347218(m²)  /Builder",,Houston,No,,,Central Electric,,Harris County,77007,17x16,,Yes,Yes,"Attic Fan, Attic Vents, Insulated/Low-E windows, Insulated Doors, Ceiling Fans, Digital Program Thermostat, Energy Star Appliances, HVAC>13 SEER","Side Yard, Back Yard",Stucco,,,"Cash Sale, Conventional, FHA, Investor, VA",1 / Gas Connections,"Stone, Wood, Carpet",,Slab,,,,,2 / Attached,,Central Gas,,,,,"High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",492H,,LT 4 BLK 1 INKER PLACE VILLAS,Exclusive Agency to Sell/Lease,400000,For Sale,16x10,,,"1,591 Sqft.148(m²)  /Appraisal District",47694481 (HAR),,No/$0,Rice Military/Washington Corridor,,,Double Sinks,,"$369,084",$0.00,"2,051",,"2,380",1996,Yes,,,,$330 - $405 K,,No/$0,"Double Oven, Gas Oven",http://www.har.com/4607-inker-st/sale_47694481,Auto Garage Door Opener,,,,0.0244,No,,Townhouse / Condo,,,Tile,"Breakfast Room, Formal Dining, Formal Living, Living Area - 2nd Floor,",20,TX,,3,,Mediterranean,Inker Place Villas View subdivision price trend,CITY PARK,2.52856,"$13,158/2016",,,,,,,,,,,,,,,,Yes,,"Public Sewer, Public Water",2008   / Appraisal District,77007,5933372ee2bac83b34e52eef,,,
782,,15x13,,15x10,,11x11,,,"Automatic Gate, Intercom",1318 Ella Pl,,No,3.00,3.00,,,,,,,,,,2 Full  & 1Half Bath(s),,3 Bedroom(s),13x9,"2,467229(m²)  /Builder",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,77008,,17x10,Yes,Yes,,,"Brick Veneer, Cement Board",9x7,,,1 / Gas Connections,"Tile, Wood, Carpet",,Slab,West,21x12,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,,,,,,452X,16x10,LT 9 BLK 1 TIMBERGROVE TERRACE,Exclusive Right to Sell/Lease,400000,For Sale,21x14,,Subdivision Lot,"2,775 Sqft.258(m²)  /Appraisal District",50077784 (HAR),,$ 1725 / ANNUALLY,Timbergrove/Lazybrook,,,"Double Sinks, Master Bath + Separate Shower",,"$353,328",$0.00,"2,775",,"2,451",2006,Yes,,,,$340 - $399 K,,Yes/$150/Transfer Fee only resale extra,Electric Oven,http://www.har.com/1318-ella-pl/sale_50077784,,,,,0.0,No,,Single Family,,Gas Range,Composition,"Breakfast Room, Formal Dining, Formal Living, Gameroom Up,",42,TX,,2,,Traditional,Timbergrove Terrace View subdivision price trend,TIMBERGROVE TERRACE,2.53516,"$8,772/2016",,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2006   / Appraisal District,77008,5933372ee2bac83b34e52ef0,,,
783,,,,,,,,,,1817 Summer St,,,1.48,2.63,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,752163(m²)  /Appraisal District",,Houston,No,,,Window Units,,Harris County,77007,,,No,No,,,Wood,,,"Cash Sale, Conventional, Investor",,,,Block & Beam,,,,,,No,No Heating,,,,,,493F,,LT 12 BLK 306 SHEARN,Exclusive Right to Sell/Lease,400000,For Sale,,,Corner,"5,000 Sqft.465(m²)  /Appraisal District",36490720 (HAR),,No/$0,Washington East/Sabine,,,,,"$194,751",$0.00,"5,000",,"1,106",1930,No,,,,$102 - $350 K,,No/$0,Gas Oven,http://www.har.com/1817-summer-st/sale_36490720,,,,,0.0,No,,Single Family,,Gas Range,Composition,,70,TX,,1,,Traditional,Shearn View subdivision price trend,SHEARN,2.53516,"$3,002/2015",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1930   / Appraisal District,77007,5933372ee2bac83b34e52ef1,,,
784,,18x12,,21x11,,13x12,,,,6308 Calder St,,No,2.99,2.95,,,,,,,,,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,139199(m²)  /Appraisal District",,Houston,No,,,Central Electric,granite,Harris County,77007,,,Yes,Yes,,,"Brick Veneer, Cement Board",,,,1 / Gaslog Fireplace,"Wood, Carpet, Slate",,Slab,"West, South",,,"Auto Garage Door Opener, Double-Wide Driveway",2 / Attached,No,Central Gas,,,,,"Alarm System - Owned, Breakfast Bar",492F,19x11,TRS 181A & 182C COTTAGE GROVE SEC 5,Exclusive Right to Sell/Lease,400000,For Sale,21x12,,Cleared,"1,781 Sqft.165(m²)  /Appraisal District",26027043 (HAR),,No/$0,Rice Military/Washington Corridor,,,,,"$363,000",,"2,688",$170.68,"2,283",2007,Yes,,,,$194 - $486 K,,No/$0,"Convection Oven, Electric Oven",http://www.har.com/6308-calder-st/sale_26027043,,,,,0.0,No,,Single Family,,Gas Range,Composition,"1 Living Area, Breakfast Room","1,149",TX,,3,,Traditional,Rice Military View subdivision price trend,COTTAGE GROVE,2.52856,"$8,382/2016",,,,,,,,,,,,,,Utility Rm in Garage,,,,"Public Sewer, Public Water",1998   / Appraisal District,77007,5933372ee2bac83b34e52ef2,,,
785,,,,,,,,,,1244 Oxford St,,,2.56,3.10,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,04897(m²)  /Appraisal District",,Houston,,"Electric Dryer Connections, Washer Connections",,Central Electric,,Harris County,77008,,,,,Ceiling Fans,,Brick & Wood,,,,,,,Pier & Beam,,,,,,No,Central Gas,,,,,,453W,,TRS 4 THRU 8 BLK 192 HOUSTON HEIGHTS,Exclusive Right to Sell/Lease,400000,For Sale,,,Subdivision Lot,"4,715 Sqft.438(m²)  /Appraisal District",16769761 (HAR),,No/$0,Heights/Greater Heights,,,,,"$488,398",,"6,600",$259.55,"1,908",1935,,,,,$284 - $900 K,,No/$0,,http://www.har.com/1244-oxford-st/sale_16769761,,,,,0.0,No,,Single Family,,"Electric Range, Electric Cooktop",Composition,,"3,887",TX,,1,,Traditional,Houston Heights View subdivision price trend,HOUSTON HEIGHTS,2.52856,"$9,207/2016",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1965   / Appraisal District,77008,5933372ee2bac83b34e52ef3,,,
786,,16x14,,15x13,,12x11,,,,1126 W 18th St,,No,2.15,2.85,,,,,,,,,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,058191(m²)  /Appraisal District",,Houston,No,"Gas Dryer Connections, Washer Connections",,Central Electric,Stone,Harris County,77008,,13x10,Yes,Yes,Ceiling Fans,"Partially Fenced, Back Yard, Porch",Cement Board,,,"Cash Sale, Conventional, VA",,"Tile, Wood",,Pier & Beam,West,,,"Auto Garage Door Opener, Double-Wide Driveway",2 / Attached,No,Central Gas,,,,,"High Ceiling, Fire/Smoke Alarm, Drapes/Curtains/Window Cover",452U,13x10,LT 3 BLK 1 SHADY ACRES HOMES,Exclusive Right to Sell/Lease,400000,For Sale,19x19,,Other,"2,506 Sqft.233(m²)  /Appraisal District",26902405 (HAR),,No/$0,Heights/Greater Heights,,,"Double Sinks, Master Bath + Separate Shower, Master With Tub",,"$336,743",,"7,685",$167.83,"1,368",1950,Yes,,,,$188 - $529 K,,No/$0,Electric Oven,http://www.har.com/1126-w-18th-st/sale_26902405,,,,,0.0476,No,,Single Family,,Gas Cooktop,Composition,1 Living Area,449,TX,,2,,Traditional,Shady Acres Homes View subdivision price trend,SHADY ACRES,2.52856,"$9,183/2016",,,,,,,,,,,,,,Utility Room 2nd Floor,,,,"Public Sewer, Public Water",2007   / Appraisal District,77008,5933372ee2bac83b34e52ef4,,,
787,,16x16,,11x12,,14x14,,,,654 Nagle St,,Yes,2.06,2.57,"$1,706",$1.16,"$318,211",,$214.57,,"1,695",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,358219(m²)  /Builder",,Houston,,Washer Connections,,Central Electric,Granite,Harris County,,,11x16,Yes,Yes,Tankless/On-Demand H2O Heater,Covered Patio/Deck,"Cement Board, Stucco",,,,1 / Gaslog Fireplace,"Tile, Wood, Carpet",,Slab on Builders Pier,,,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,107,321,,,"High Ceiling, Island Kitchen",493R,9x17,LT 31 BLK 1 CAPITOL OAKS SEC 3 RP NO 1,Exclusive Right to Sell/Lease,400000,For Sale,18x22,,Subdivision Lot,"2,048 Sqft.190(m²)  /Appraisal District",72933688 (HAR),,$ 2100 / ANNUALLY,East End Revitalized,East End Revitalized,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Gas Oven,http://www.har.com/654-nagle-st/sale_72933688,,,,,0.0,No,,Single Family,,Gas Range,Aluminum,"Kitchen/Dining Combo, Living/Dining Combo",,TX,,3,,Other Style,Capitol Oaks,,2.52856,"$9,671/2016",,,,,,,,,,,,,,Utility Room 3rd Floor,,,,"Public Sewer, Public Water",2010   / Appraisal District,77003,5933372ee2bac83b34e52ef5,,,
788,,18x14,,14x13,,13x10,,,,4607 Inker St,Electric Dryer Connection,No,3.00,3.00,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,347218(m²)  /Builder",,Houston,No,,,Central Electric,,Harris County,77007,17x16,,Yes,Yes,"Attic Fan, Attic Vents, Insulated/Low-E windows, Insulated Doors, Ceiling Fans, Digital Program Thermostat, Energy Star Appliances, HVAC>13 SEER","Side Yard, Back Yard",Stucco,,,"Cash Sale, Conventional, FHA, Investor, VA",1 / Gas Connections,"Stone, Wood, Carpet",,Slab,,,,,2 / Attached,,Central Gas,,,,,"High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",492H,,LT 4 BLK 1 INKER PLACE VILLAS,Exclusive Agency to Sell/Lease,400000,For Sale,16x10,,,"1,591 Sqft.148(m²)  /Appraisal District",47694481 (HAR),,No/$0,Rice Military/Washington Corridor,,,Double Sinks,,"$369,084",$0.00,"2,051",,"2,380",1996,Yes,,,,$330 - $405 K,,No/$0,"Double Oven, Gas Oven",http://www.har.com/4607-inker-st/sale_47694481,Auto Garage Door Opener,,,,0.0244,No,,Townhouse / Condo,,,Tile,"Breakfast Room, Formal Dining, Formal Living, Living Area - 2nd Floor,",20,TX,,3,,Mediterranean,Inker Place Villas View subdivision price trend,CITY PARK,2.52856,"$13,158/2016",,,,,,,,,,,,,,,,Yes,,"Public Sewer, Public Water",2008   / Appraisal District,77007,5933372ee2bac83b34e52ef6,,,
789,,15x13,,15x10,,11x11,,,"Automatic Gate, Intercom",1318 Ella Pl,,No,3.00,3.00,,,,,,,,,,2 Full  & 1Half Bath(s),,3 Bedroom(s),13x9,"2,467229(m²)  /Builder",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,77008,,17x10,Yes,Yes,,,"Brick Veneer, Cement Board",9x7,,,1 / Gas Connections,"Tile, Wood, Carpet",,Slab,West,21x12,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,,,,,,452X,16x10,LT 9 BLK 1 TIMBERGROVE TERRACE,Exclusive Right to Sell/Lease,400000,For Sale,21x14,,Subdivision Lot,"2,775 Sqft.258(m²)  /Appraisal District",50077784 (HAR),,$ 1725 / ANNUALLY,Timbergrove/Lazybrook,,,"Double Sinks, Master Bath + Separate Shower",,"$353,328",$0.00,"2,775",,"2,451",2006,Yes,,,,$340 - $399 K,,Yes/$150/Transfer Fee only resale extra,Electric Oven,http://www.har.com/1318-ella-pl/sale_50077784,,,,,0.0,No,,Single Family,,Gas Range,Composition,"Breakfast Room, Formal Dining, Formal Living, Gameroom Up,",42,TX,,2,,Traditional,Timbergrove Terrace View subdivision price trend,TIMBERGROVE TERRACE,2.53516,"$8,772/2016",,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2006   / Appraisal District,77008,5933372ee2bac83b34e52ef7,,,
790,,,,,,,,,,1817 Summer St,,,1.48,2.63,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,752163(m²)  /Appraisal District",,Houston,No,,,Window Units,,Harris County,77007,,,No,No,,,Wood,,,"Cash Sale, Conventional, Investor",,,,Block & Beam,,,,,,No,No Heating,,,,,,493F,,LT 12 BLK 306 SHEARN,Exclusive Right to Sell/Lease,400000,For Sale,,,Corner,"5,000 Sqft.465(m²)  /Appraisal District",36490720 (HAR),,No/$0,Washington East/Sabine,,,,,"$194,751",$0.00,"5,000",,"1,106",1930,No,,,,$102 - $350 K,,No/$0,Gas Oven,http://www.har.com/1817-summer-st/sale_36490720,,,,,0.0,No,,Single Family,,Gas Range,Composition,,70,TX,,1,,Traditional,Shearn View subdivision price trend,SHEARN,2.53516,"$3,002/2015",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1930   / Appraisal District,77007,5933372ee2bac83b34e52ef8,,,
791,,,,,,,,,,908 Enid St,,,1.69,2.71,,,,,,,,,,,,,,"1,700158(m²)  /Appraisal District",,Houston,,,,Central Electric,,Harris County,77009,,,,,Ceiling Fans,,Vinyl,,,"Cash Sale, Conventional, VA",,Wood,,,,,,,,,Central Gas,,,,,,453X,,LT 3 BLK 83 BROOKE SMITH,Exclusive Right to Sell/Lease,375900,For Sale,,,,"5,000 Sqft.465(m²)  /Appraisal District",50143406 (HAR),,No,Heights/Greater Heights,,,,,"$238,409",,"5,000",$236.32,"1,204",1926,Yes,,,,$154 - $445 K,,No/$0,,http://www.har.com/908-enid-st/sale_50143406,"Driveway Gate, Paved Area",,,,0.1174,,,Multi-Family,,,Composition,,803,TX,,2,,,Brooke Smith View subdivision price trend,BROOKE SMITH,2.53516,"$7,874/2015",,,,,,,,,,,,,,,,,,,1920   / Appraisal District,77009,5933372ee2bac83b34e52ef9,,,
792,,19x15,,14x13,,12x11,,,,6610 Eureka St,,,2.26,2.95,"$2,401",$1.40,"$483,727",,$228.58,,"2,129",,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,147199(m²)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,,,11x11,Yes,Yes,"Insulated/Low-E windows, Insulated Doors, Ceiling Fans, Digital Program Thermostat, Energy Star Appliances, High-Efficiency HVAC, HVAC>13 SEER, Insulation - Batt","Covered Patio/Deck, Back Yard Fenced",Cement Board,,,"Cash Sale, Conventional, FHA, Investor, VA",,"Tile, Wood, Carpet",,Slab,,,,,2 / Attached,No,Central Gas,28,132,,,"Alarm System - Owned, Breakfast Bar, High Ceiling, Island Kitchen",492B,16x14,LT 8 BLK 1 EUREKA VISTA,Exclusive Right to Sell/Lease,402000,For Sale,19x13,,Subdivision Lot,"2,500 Sqft.232(m²)  /Appraisal District",87300287 (HAR),,No/$0,Timbergrove/Lazybrook,Timbergrove/Lazybrook,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,"Freestanding Oven, Gas Oven",http://www.har.com/6610-eureka-st/sale_87300287,,,,,0.0,No,,Single Family,,,Composition,"1 Living Area, Kitchen/Dining Combo",,TX,,2,,Traditional,Eureka Vista,,2.52856,"$9,325/2016",,,,,,,,,,,,,,,6x5,,,Public Water,2014   / Appraisal District,77008,5933372ee2bac83b34e52efa,,,
793,,16x14,,12x12,,12x10,,,,1514 Beall St,Washer Connections,No,2.29,2.79,"$2,159",$1.45,"$583,801",,$264.28,,"2,291",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,052191(m²)  /Builder",,Houston,No,,,Central Electric,,Harris County,,,10x12,Yes,Yes,Insulation - Blown Cellulose,,Cement Board,,,,,Wood,,Pier & Beam,,,,,2 / Attached,,Central Gas,245,942,,,Prewired for Alarm System,,12x9,Lot 1 Block 1,Exclusive Right to Sell/Lease,404900,For Sale,20x16,,,"1,536 Sqft.143(m²)  /Survey",21760408 (HAR),,$ 1800 / ANNUALLY,Heights/Greater Heights,Heights/Greater Heights,,Whirlpool/Tub,,,,,,,,Yes,,,,,,No/$0,Freestanding Oven,http://www.har.com/1514-beall-st/sale_21760408,,,,,0.0,No,,Townhouse / Condo,,Freestanding Range,Composition,Living Area - 2nd Floor,,TX,,3,,Contemporary/Modern,Beall/West 15th,,,,,,,,,,,,,,,,,,,Yes,,Public Water,2016   / Builder,77008,5933372ee2bac83b34e52efb,,,
794,,15x18,,11x12,,13x15,,,,5723 Arabelle Lake St,,Yes,2.99,2.95,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,250209(m²)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,"Central Electric, Zoned",,Harris County,77007,,12x13,Yes,Yes,"Insulated/Low-E windows, Ceiling Fans, Digital Program Thermostat, Energy Star/CFL/LED Lights, Energy Star Appliances, High-Efficiency HVAC, Insulation - Batt, Tankless/On-Demand H2O Heater","Patio/Deck, Back Yard Fenced","Brick Veneer, Stucco",,,"Cash Sale, Conventional",,"Wood, Carpet",,Slab,,,,"Auto Driveway Gate, Driveway Gate",2 / Attached,Yes,"Central Gas, Zoned",,,,,"2 Staircases, Alarm System - Owned, High Ceiling",492B,,LT 11 BLK 1 COTTAGE GROVE SEC 8 R/P,Exclusive Right to Sell/Lease,405000,For Sale,17x18,,Subdivision Lot,"1,613 Sqft.150(m²)  /Appraisal District",30389315 (HAR),,$ 1989 / ANNUALLY,Cottage Grove,,,"Double Sinks, Master Bath + Separate Shower",,"$363,000",,"2,688",$170.68,"2,283",2007,Yes,,,,$194 - $486 K,,Yes/$250/Transfer fee,"Convection Oven, Gas Oven",http://www.har.com/5723-arabelle-lake-st/sale_30389315,,,,,0.0,No,,Single Family,,Gas Range,Composition,Living Area - 2nd Floor,"1,149",TX,,3,,Traditional,Cottage Grove Sec 08 Rep 01 View subdivision price trend,COTTAGE GROVE,2.52856,"$9,385/2016",,,,,,,,,,,,,,Utility Room 2nd Floor,,,,"Public Sewer, Public Water",2011   / Appraisal District,77007,5933372ee2bac83b34e52efc,,,
